Zone,Site,Parameter,No.samples,Median,Minimum,25%quartile,75%quartile,Maximum,Mean ,
East,AGN260,Conductivity (uS/cm),6,585,430,520,720,800,607,
East,AGN260,pH,6,6,5.5,6,6,6.5,6,
,,,,,,,,,,
East,AGN300,Water temperature (°C),10,12,5.5,9,13,19.5,11.8,
East,AGN300,Turbidity (NTU),10,15,<7,13,18,40,17,
East,AGN300,Conductivity (uS/cm),10,475,280,430,580,920,500,
East,AGN300,pH,10,6,5.5,6,6.5,7,6.2,
,,,,,,,,,,
East,AGN400,Water temperature (°C),11,16.5,5.5,9,21,30.5,15.7,
East,AGN400,Turbidity (NTU),11,10,<7,<7,11,13,9,
East,AGN400,Conductivity (uS/cm),10,1575,113,1070,3000,44000,7612,
East,AGN400,pH,11,6.5,6.5,6.5,7.5,8.5,7,
,,,,,,,,,,
East,SUP010,Water temperature (°C),10,12.5,8.5,9,15,20.4,13.2,
East,SUP010,Turbidity (NTU),10,21,16,18,29,53,26,
East,SUP010,Conductivity (uS/cm),10,585,480,560,625,650,577,
East,SUP010,pH,10,6.3,6,6,6.5,7,6.4,
East,SUP010,Ortho-phosphate (mg/L),9,0.045,0.03,0.03,0.045,0.06,0.04,
East,SUP010,Dissolved oxygen (mg/L),9,9.5,7.8,9.1,9.8,11.7,9.6,
East,SUP010,% saturation,9,90,78,87,95,104,91,
,,,,,,,,,,
East,SUP020,Water temperature (°C),11,13,8.5,10,16,22.5,13.6,
East,SUP020,Turbidity (NTU),11,85,38,60,99,115,81,
East,SUP020,Conductivity (uS/cm),11,920,460,750,990,1120,871,
East,SUP020,pH,11,6,6,6,6.5,6.5,6.2,
East,SUP020,Ortho-phosphate (mg/L),10,0.28,0.14,0.14,0.42,0.44,0.282,
East,SUP020,Dissolved oxygen (mg/L),10,7.6,5,7.2,8,9.7,7.6,
East,SUP020,% saturation,10,73,52,66,81,84,71,
,,,,,,,,,,
East,SUP050,Water temperature (°C),11,12.5,8,10,16,20,13,
East,SUP050,Turbidity (NTU),11,51,23,44,59,-,85,50
East,SUP050,Conductivity (uS/cm),11,710,430,620,730,754,664,
East,SUP050,pH,11,6,5.5,6,6,6.5,6,
East,SUP050,Ortho-phosphate (mg/L),10,0.19,0.08,0.14,0.28,1.14,0.299,
East,SUP050,Dissolved oxygen  (mg/L)  ,10,8.4,7.5,7.9,8.8,10.8,8.6,
East,SUP050,% saturation,10,79,68,75,84,88,79,
,,,,,,,,,,
East,SUP100,Water temperature (°C),12,12,8,10.3,15.8,22,13.2,
East,SUP100,Turbidity (NTU),12,25,6,22,32,41,26,
East,SUP100,Conductivity (uS/cm),12,640,400,590,660,707,612,
East,SUP100,pH,12,6,5.5,5.8,6.5,6.5,6.1,
East,SUP100,Ortho-phosphate (mg/L),10,0.13,0.045,0.08,0.14,0.28,0.13,
East,SUP100,Dissolved oxygen (mg/L),10,8.4,7.2,8.1,8.9,10.4,8.6,
East,SUP100,% saturation,10,83,68,74,85,89,80,
,,,,,,,,,,
East,SUP200,Water temperature (°C),12,15.3,9,11.5,19.8,23,15.6,
East,SUP200,Turbidity (NTU),11,65,13,43,83,250,76,
East,SUP200,Conductivity (uS/cm),12,325,260,290,340,405,324,
East,SUP200,pH,11,6,5.5,5.5,6,7,6,
East,SUP200,Ortho-phosphate (mg/L),7,0.03,0.015,0.015,0.03,0.15,0.041,
East,SUP200,Dissolved oxygen (mg/L),9,9,7.4,8.8,9.6,10.2,9,
East,SUP200,% saturation,9,89,75,79,96,99,87,
,,,,,,,,,,
East,SUP300,Water temperature (°C),14,12.5,8,9.5,15,24.5,13.1,
East,SUP300,Turbidity (NTU),13,24,10,21,33,83,30,
East,SUP300,Conductivity (uS/cm),14,560,120,530,645,740,543,
East,SUP300,pH,13,6.5,5.5,6,6.5,6.5,6.3,
East,SUP300,Ortho-phosphate (mg/L),10,0.08,0.03,0.08,0.11,0.14,0.088,
East,SUP300,Dissolved oxygen (mg/L),10,8.6,7.4,7.7,9.2,10.7,8.7,
East,SUP300,% saturation,10,79,66,75,86,94,80,
,,,,,,,,,,
East,GVC115,Water temperature (°C),13,11,3.7,7,14,18,11.2,
East,GVC115,Turbidity (NTU),13,29,8,25,40,170,39,
East,GVC115,Conductivity (uS/cm),13,490,290,388,530,1900,570,
East,GVC115,pH,13,6,5,6,6.5,7.1,6.1,
East,GVC115,Ortho-phosphate (mg/L),2,0.011,0.006,0.016,0.011,,,
East,GVC115,Dissolved oxygen (mg/L),3,10.2,2.6,10.3,7.7,,,
East,GVC115,% saturation,3,78,24,80,61,,,
,,,,,,,,,,
East,SUP350,Water temperature (°C),11,12,6,8,14,18,11.9,
East,SUP350,Turbidity (NTU),11,26,10,11,63,80,35,
East,SUP350,Conductivity (uS/cm),11,480,120,330,720,870,505,
East,SUP350,pH,11,6,5,6,6.5,6.5,6,
,,,,,,,,,,
West,CFB010,Water temperature (°C),28,9,4.5,6.8,11,18.1,9.2,
West,CFB010,Turbidity (NTU),29,<7,<7,<7,<7,45,10,
West,CFB010,Conductivity (uS/cm),31,90,60,80,110,173,97,
West,CFB010,pH,30,6.5,5.5,6,6.5,7.6,6.3,
West,CFB010,E. coli (counts/100 ml),4,100,0,0,355,510,178,
West,CFB010,Ortho-phosphate (mg/L),4,0.011,0.005,0.006,0.023,0.03,0.014,
,,,,,,,,,,
West,CFB020,Water temperature (°C),30,9.8,5,7,11.5,18.1,10,
West,CFB020,Turbidity (NTU),30,<7,<7,<7,11,68,12,
West,CFB020,Conductivity (uS/cm),32,110,60,90,130,191,112,
West,CFB020,pH,32,6.5,5.5,6,6.5,7.7,6.4,
West,CFB020,E. coil (counts/100 ml),6,48,0,36,360,510,167,
West,CFB020,Ortho-phosphate (mg/L),2,0.015,0.015,0.015,0.015,,,
,,,,,,,,,,
West,CFB030,Water temperature (°C),26,10.5,5.5,8.5,15,23,11.7,
West,CFB030,Turbidity (NTU),25,<7,<7,<7,12,70,15,
West,CFB030,Conductivity (uS/cm),28,130,80,110,140,191,127,
West,CFB030,pH,27,6.5,5.5,6,6.5,7.7,6.4,
West,CFB030,E. coil (counts/100 ml),4,675,360,435,840,840,638,
West,CFB030,Ortho-phosphate (mg/L),4,0.012,0.005,0.007,0.023,0.03,0.015,
,,,,,,,,,,
West,DOV070,Water temperature (°C),4,12.9,4.5,7.5,15.4,15.5,11.4,
West,DOV070,Turbidity (NTU),4,13,<7,10,18,23,14,
West,DOV070,Conductivity (uS/cm),4,382,180,279,388,390,334,
West,DOV070,pH,4,6.9,6,6.5,7.4,7.8,6.9,
,,,,,,,,,,
West,DOV090,Water temperature (°C),2,13.4,10.7,16,13.4,,,
West,DOV090,Turbidity (NTU),2,10,<7,13,10,,,
West,DOV090,Conductivity (uS/cm),2,355,190,520,355,,,
West,DOV090,pH,2,7.2,6.5,7.8,7.2,,,
,,,,,,,,,,
West,DOV110,Water temperature (°C),2,13.9,10.8,17,13.9,,,
West,DOV110,Turbidity (NTU),2,10,<7,12,10,,,
West,DOV110,Conductivity (uS/cm),2,425,200,650,425,,,
West,DOV110,pH,2,7,6.5,7.5,7,,,
,,,,,,,,,,
West,DOV120,Water temperature (°C),2,16,12.5,19.5,16,,,
West,DOV120,Turbidity (NTU),2,10,<7,13,10,,,
West,DOV120,Conductivity (uS/cm),2,1125,250,1999,1125,,,
West,DOV120,pH,2,7.9,7.5,8.2,7.9,,,
,,,,,,,,,,
West,DOV130,Water temperature (°C),2,16.2,11.8,20.5,16.2,,,
West,DOV130,Turbidity (NTU),2,<7,<7,<7,<7 ,,,
West,DOV130,Conductivity (uS/cm),2,1095,190,2000,1095,,,
West,DOV130,pH,2,8,8,8,8,,,
,,,,,,,,,,
East,GDR100,Conductivity (uS/cm),8,261,163,435,213,337,278,
East,GDR100,E. coli (counts/100 ml),3,80,40,160,93,,,
East,GDR100,pH,8,6.5,5.5,6.5,6,6.5,6.3,
East,GDR100,Turbidity (NTU),8,<7,<7,<7,<7,<7,<7 ,
East,GDR100,Water  temperature (°C),7,10,8,15,8,14,10.5,
,,,,,,,,,,
East,ALB100,Conductivity (uS/cm),8,419,282,733,307,569,451,
East,ALB100,E. coli (counts/100 ml),2,100,60,140,100,,,
East,ALB100,pH,8,6.5,6,7,6.5,7,6.6,
East,ALB100,Turbidity (NTU),8,<7,<7,16,<7,<7,8,
East,ALB100,Water  temperature (°C),7,9.5,7,14,8,12,10,
,,,,,,,,,,
East,WOL100,Conductivity (uS/cm),6,515,423,622,472,567,519,
East,WOL100,E. coil (counts/100 ml),2,90,0,180,90,,,
East,WOL100,pH,6,6.5,6,7,6.5,7,6.6,
East,WOL100,Water  temperature (°C),6,11.3,9,17.5,9,16,12.3,
East,WOL100,Turbidity (NTU),6,7,<7,<7,<7,<7,<7 ,
,,,,,,,,,,
East,GDR150,Conductivity (uS/cm),9,457,291,920,440,571,505,
East,GDR150,E. coli (counts/100 ml),3,280,30,660,323,,,
East,GDR150,pH,8,6.5,6.5,7.5,6.5,7.3,6.8,
East,GDR150,Turbidity (NTU),8,<7,<7,23,<7,<7,9,
East,GDR150,Water  temperature (°C),7,13,7.5,20,8,16,12.4,
,,,,,,,,,,
East,HOL100,Conductivity (uS/cm),4,599,533,762,542,705,623,
East,HOL100,E. coli (counts/100 ml),2,160,140,180,160,,,
East,HOL100,pH,4,7,6,8,6.5,7.5,7,
East,HOL100,Water  temperature (°C),4,11,7,13.5,8,13.3,10.6,
East,HOL100,Turbidity (NTU),4,9,<7,14,8,12,10,
,,,,,,,,,,
East,GDR200,Conductivity (uS/cm),8,538,300,1144,404,701,591,
East,GDR200,E. coil (counts/100 ml),2,59,20,98,59,,,
East,GDR200,pH,8,6.5,6,7,6,6.5,6.4,
East,GDR200,Turbidity (NTU),8,<7,6,19,<7,10,9,
East,GDR200,Water  temperature (°C),7,11,7.6,17,8,13,11.2,
,,,,,,,,,,
Upper,HU0140,Water  temperature (°C),17,9.6,5.6,7,13.2,19,10.5,
Upper,HU0140,Turbidity (NTU),19,2,1,1,3,39,5.2,
Upper,HU0140,Conductivity (uS/cm),17,82,41,59,109,161,87,
Upper,HU0140,pH,15,7.3,5.7,6.8,7.6,7.8,7.1,
,,,,,,,,,,
Upper,HU0150,Water  temperature (°C),6,8.3,4,6,10,10,7.8,
Upper,HU0150,Turbidity (NTU),6,<7,<7,<7,7,7,7,
Upper,HU0150,Conductivity (uS/cm),6,50,40,40,80,150,68,
Upper,HU0150,pH,6,6,6,6,6.5,7,6.3,
,,,,,,,,,,
Upper,HU0200,Water temperature (°C),22,10,6,9,13,22,11.3,
Upper,HU0200,Turbidity (NTU),22,<7,<7,<7,10,65,13,
Upper,HU0200,Conductivity (uS/cm),23,30,10,20,50,183,50,
Upper,HU0200,pH,23,6,5,6,6.5,7,6,
,,,,,,,,,,
Upper,HU0240,Water temperature (°C),21,10,6.4,9.5,13.8,23,12,
Upper,HU0240,Turbidity (NTU),20,<7,<7,<7,9,20,9,
Upper,HU0240,Conductivity (uS/cm),20,35,10,25,60,150,52,
Upper,HU0240,pH,21,6,5,5.5,6.5,7,6,
,,,,,,,,,,
Upper,JUD020,Water temperature (°C),10,6,3,5.5,8,11.5,6.8,
Upper,JUD020,Turbidity (NTU),10,<7,<7,<7,<7,<7,<7 ,
Upper,JUD020,Conductivity (uS/cm),10,55,39,39,65,90,55,
Upper,JUD020,pH,10,6,6,6,6.5,6.5,6.2,
Upper,JUD020,E. coil (counts/100 ml),3,0,0,0,0,,,
Upper,JUD020,Ortho-phosphate (mg/L),7,0,0,0,0.015,0.03,0.006,
,,,,,,,,,,
Upper,JUD025,Water temperature (°C),9,7,3,6,10,12,7.4,
Upper,JUD025,Turbidity (NTU),9,<7,<7,<7,<7,<7,<7 ,
Upper,JUD025,Conductivity (uS/cm),9,61,43,44,78,120,68,
Upper,JUD025,pH,9,6.5,6,6,6.5,6.5,6.3,
Upper,JUD025,E. coli (counts/100 ml),3,0,0,20,7,,,
Upper,JUD025,Ortho-phosphate (mg/L),7,0.015,0,0,0.015,0.03,0.011,
,,,,,,,,,,
Upper,JUD070,Water temperature (°C),6,6,3,6,7.5,11,6.6,
Upper,JUD070,Turbidity (NTU),6,<7,<7,<7,<7,<7,<7 ,
Upper,JUD070,Conductivity (uS/cm),6,60,51,51,77,82,64,
Upper,JUD070,pH,6,6,6,6,6.5,6.5,6.2,
Upper,JUD070,E. coli (counts/100 ml),3,20,0,40,20,,,
Upper,JUD070,Ortho-phosphate (mg/L),5,0,0,0,0,0.015,0.003,
,,,,,,,,,,
Upper,JUD100,Water temperature (°C),6,6.5,3,6,10,12,7.3,
Upper,JUD100,Turbidity (NTU),6,<7,<7,<7,<7,<7,<7 ,
Upper,JUD100,Conductivity (uS/cm),6,56,44,52,61,110,63,
Upper,JUD100,pH,6,6,6,6,6.5,6.5,6.2,
Upper,JUD100,E. coil (counts/100 ml),3,0,0,40,13,,,
Upper,JUD100,Ortho-phosphate (mg/L),5,0,0,0,0.015,0.015,0.006,
,,,,,,,,,,
Upper,JUD180,Water temperature (°C),5,10,5,6,10,10,8.2,
Upper,JUD180,Turbidity (NTU),5,<7,<7,<7,<7,<7,<7 ,
Upper,JUD180,Conductivity (uS/cm),5,54,49,53,70,88,63,
Upper,JUD180,pH,5,6,6,6,6.5,6.5,6.2,
Upper,JUD180,Ortho-phosphate (mg/L),4,0.008,0,0,0.015,0.015,0.008,
,,,,,,,,,,
Upper,JUD200,Water temperature (°C),7,7,3,5.5,13,16.6,9,
Upper,JUD200,Turbidity (NTU),7,<7,<7,<7,<7,<7,<7 ,
Upper,JUD200,Conductivity (uS/cm),7,58,51,54,118,137,80,
Upper,JUD200,pH,7,6,6,6,7.7,8,6.6,
Upper,JUD200,E. coli (counts/100 ml),5,60,0,60,120,1000,248,
Upper,JUD200,Ortho-phosphate (mg/L),7,0.005,0,0,0.015,0.03,0.008,
,,,,,,,,,,
West,KER200,E. coil (counts/100 ml),4,210,76,128,345,450,237,
,,,,,,,,,,
West,KER400,E. coil (counts/100 ml),2,300,80,520,300,,,
,,,,,,,,,,
West,KER450,E. coil (counts/100 ml),4,250,24,122,360,440,241,
,,,,,,,,,,
West,KER600,E. coil (counts/100 ml),3,560,60,820,480,,,
,,,,,,,,,,
West,KER700,E. coil (counts/100 ml),4,700,120,290,1470,2000,880,
,,,,,,,,,,
West,KER800,E. coil (counts/100 ml),4,665,200,405,1000,1280,703,
,,,,,,,,,,
,RIL200,E. coil (counts/100 ml),2,280,280,280,280,,,
,,,,,,,,,,
,RIL400,E. coil (counts/100 ml),4,865,230,340,1490,1700,915,
,,,,,,,,,,
,STT100,E. coil (counts/100 ml),2,95,80,110,95,,,
,,,,,,,,,,
,STT300,E. coil (counts/100 ml),2,920,240,1600,920,,,
,,,,,,,,,,
,STT350,E. coil (counts/100 ml),2,170,80,260,170,,,
,,,,,,,,,,
,STT400,E. coil (counts/100 ml),4,1195,260,465,2110,2500,1288,
,,,,,,,,,,
Upper,LDR001,Water temperature (°C),67,8,3,6,10,14,8.1,
Upper,LDR001,Turbidity (NTU),69,0,0,0,0.3,2,0.3,
Upper,LDR001,Conductivity (uS/cm),69,35,24,30,43,66,38,
Upper,LDR001,pH,61,6.8,5.7,6.6,7,7.5,6.9,
,,,,,,,,,,
Upper,LDR002,Water temperature (°C),65,9,3,7,11.5,15,9.2,
Upper,LDR002,Turbidity (NTU),67,1,0,0,1.4,5.4,1,
Upper,LDR002,Conductivity (uS/cm),67,46,30,43,55,70,48,
Upper,LDR002,pH,59,6.7,5.9,6.6,7.1,7.5,6.8,
,,,,,,,,,,
Upper,LDR100,Water temperature (°C),8,11.3,8,10,13.5,18.5,12,
Upper,LDR100,Turbidity (NTU),8,<7,<7,<7,<7,<7,<7 ,
Upper,LDR100,Conductivity (uS/cm),8,30,20,30,40,40,33,
Upper,LDR100,pH,8,6.5,6,6,6.5,6.5,6.3,
Upper,LDR100,Total phosphate (mg/L),4,0.01,0.01,0.01,0.02,0.02,0.01,
,,,,,,,,,,
Upper,LDR220,Water temperature (°C),5,13.5,8,11.5,16.5,20,13.9,
Upper,LDR220,Turbidity (NTU),4,<7,<7,<7,<7,<7,<7 ,
Upper,LDR220,Conductivity (uS/cm),4,30,30,30,40,50,35,
Upper,LDR220,pH,5,6.5,6,6,6.5,6.5,6.3,
Upper,LDR220,Total phosphate (mg/L),5,0.02,0.01,0.01,0.02,0.03,0.02,
,,,,,,,,,,
Upper,LDR300,Water temperature (°C),4,8.8,8,8,10.5,11.5,9.3,
Upper,LDR300,Turbidity (NTU),4,<7,<7,<7,<7,<7,<7 ,
Upper,LDR300,Conductivity (uS/cm),4,30,30,30,30,30,30,
Upper,LDR300,pH,4,6,6,6,6,6,6,
Upper,LDR300,Total phosphate (mg/L),5,0.04,0.03,0.03,0.04,0.05,0.04,
,,,,,,,,,,
Upper,LDR400,Total phosphate (mg/L),4,0.02,0.01,0.01,0.02,0.02,0.02,
,,,,,,,,,,
North,BAK025,Water temperature (°C),4,12.5,10,11,13,13,12,
North,BAK025,Turbidity (NTU),4,<7,<7,<7,<7,<7,<7 ,
North,BAK025,Conductivity (uS/cm),4,86,50,64,96,97,80,
North,BAK025,pH,4,6.5,6,6.3,6.8,7,6.5,
North,BAK025,E. coli (counts/100 ml),6,69,0,20,320,480,160,
North,BAK025,Ortho-phosphate (mg/L),2,0.015,0.015,0.015,0.015,,,
North,BAK025,Dissolved oxygen (mg/L),2,9.8,9.6,10,9.8,,,
,,,,,,,,,,
North,BAK060,Water temperature (°C),5,13,8,11,14.5,15,12.3,
North,BAK060,Turbidity (NTU),5,<7,<7,<7,<7,<7,<7 ,
North,BAK060,Conductivity (uS/cm),5,91,70,88,110,124,97,
North,BAK060,pH,5,6.5,6,6.5,7,7,6.6,
North,BAK060,E. coil (counts/100 ml),6,260,40,140,1200,1240,523,
North,BAK060,Ortho-phosphate (mg/L),2,0.015,0.015,0.015,0.015,,,
,,,,,,,,,,
North,BAK150,Water temperature (°C),4,13.5,9.5,10.8,15,15,12.9,
North,BAK150,Turbidity (NTU),4,<7,<7,<7,<7,<7,<7 ,
North,BAK150,Conductivity (uS/cm),4,151,120,132,167,176,149,
North,BAK150,pH,4,7,6.5,6.8,7,7,6.9,
North,BAK150,E. coli (counts/100 ml),5,200,54,80,540,1680,511,
North,BAK150,Ortho-phosphate (mg/L),3,0.015,0.015,0.015,0.015,,,
North,BAK150,Dissolved oxygen (mg/L),2,8,7.8,8.2,8,,,
,,,,,,,,,,
North,BAK200,Water temperature (°C),8,12,5,10.3,15,16.5,12,
North,BAK200,Turbidity (NTU),8,<7,<7,<7,<7,<7,<7 ,
North,BAK200,Conductivity (uS/cm),8,165,140,149,176,208,166,
North,BAK200,pH,8,6.5,6,6.3,6.5,7,6.4,
North,BAK200,E. coli (counts/100 ml),7,280,120,200,680,2000,554,
North,BAK200,Ortho-phosphate (mg/L),3,0.015,0.015,0.015,0.015,,,
North,BAK200,Dissolved oxygen (mg/L),2,7.7,7.6,7.8,7.7,,,
,,,,,,,,,,
North,BAK250,Water temperature (°C),5,14.5,8,10,16.5,18,13.4,
North,BAK250,Turbidity (NTU),4,<7,<7,<7,<7,<7,<7 ,
North,BAK250,Conductivity (uS/cm),5,178,150,163,195,309,199,
North,BAK250,pH,5,6.5,6,6.5,6.5,6.5,6.4,
North,BAK250,E. coli (counts/100 ml),5,140,98,140,320,1520,444,
North,BAK250,Ortho-phosphate (mg/L),3,0.015,0.015,0.03,0.02,,,
,,,,,,,,,,
North,CRB080,Water temperature (°C),6,11.3,6,6.5,16.5,20,11.9,
North,CRB080,Turbidity (NTU),6,<7,<7,<7,7,7,7,
North,CRB080,Conductivity (uS/cm),6,55,34,38,92,130,67,
North,CRB080,pH,6,6.3,5.5,6,6.5,6.5,6.2,
North,CRB080,E. coli (counts/100 ml),5,20,0,0,20,20,12,
North,CRB080,Ortho-phosphate (mg/L),4,0.008,0,0,0.023,0.03,0.011,
North,CRB080,Dissolved oxygen (mg/L),4,10.7,8.5,9.2,12,12.5,10.6,
,,,,,,,,,,
North,CRB100,Water temperature (°C),4,18.9,5.6,12.2,19.5,20,15.9,
North,CRB100,Turbidity (NTU),4,4,1,1,7,7,4,
North,CRB100,Conductivity (uS/cm),4,90,76,79,105,111,92,
North,CRB100,pH,4,7,6,6.3,7.5,7.5,6.9,
North,CRB100,E. coli (counts/100 ml),2,36,6,66,36,,,
North,CRB100,Dissolved oxygen (mg/L),3,8.5,7.2,11.9,9.2,,,
,,,,,,,,,,
North,CRB150,Water temperature (°C),7,14.5,6,8,18,19,13.1,
North,CRB150,Turbidity (NTU),7,<7,<7,<7,<7,<7,<7 ,
North,CRB150,Conductivity (uS/cm),6,73,44,50,119,131,82,
North,CRB150,pH,7,6.5,5.5,6,6.5,7,6.3,
North,CRB150,E. coli (counts/100 ml),6,50,0,0,120,140,60,
North,CRB150,Ortho-phosphate (mg/L),6,0.015,0,0.015,0.015,0.03,0.015,
North,CRB150,Dissolved oxygen (mg/L),6,9.8,7.9,8,10.8,10.8,9.5,
,,,,,,,,,,
North,CRB250,Water temperature (°C),5,15,6.5,9,18.5,19,13.6,
North,CRB250,Turbidity (NTU),4,<7,<7,<7,<7,<7,<7 ,
North,CRB250,Conductivity (uS/cm),5,81,46,50,116,139,86,
North,CRB250,pH,5,6.5,5.5,6,6.5,7,6.3,
North,CRB250,E. coil (counts/100 ml),4,20,0,0,80,120,40,
North,CRB250,Ortho-phosphate (mg/L),4,0.008,0,0,0.015,0.015,0.008,
North,CRB250,Dissolved oxygen (mg/L),5,9.5,7.2,8.2,10.4,10.4,9.1,
,,,,,,,,,,
North,CRB300,Water temperature (°C),12,12,4.5,7.5,16.5,19.6,12.2,
North,CRB300,Turbidity (NTU),12,7,1,<7,<7,<7,6,
North,CRB300,Conductivity (uS/cm),11,73,49,50,114,162,86,
North,CRB300,pH,12,6.5,5.5,6.3,7,7.3,6.6,
North,CRB300,E. coil (counts/100 ml),10,75,20,40,280,2700,381,
North,CRB300,Ortho-phosphate (mg/L),6,0.015,0,0.015,0.015,0.015,0.013,
North,CRB300,Dissolved oxygen (mg/L),8,9.9,7.7,8.7,11.2,12.2,9.9,
North,CRB300,%  saturation,4,95,92,92,102,106,97,
,,,,,,,,,,
North,DIP060,Water temperature (°C),4,9.3,6,7.3,12,14,9.6,
North,DIP060,Turbidity (NTU),4,19,17,18,24,28,21,
North,DIP060,Conductivity (uS/cm),4,141,110,124,157,170,140,
North,DIP060,pH,4,5.8,5,5.3,6,6,5.6,
North,DIP060,E. coil (counts/100 ml),2,50,40,60,50,,,
,,,,,,,,,,
North,DIP080,Water temperature (°C),4,8,5.5,6,10.3,11,8.1,
North,DIP080,Turbidity (NTU),4,31,9,18,35,35,26,
North,DIP080,Conductivity (uS/cm),4,208,180,188,238,256,213,
North,DIP080,pH,4,6,5,5.5,6,6,5.8,
North,DIP080,E. coil (counts/100 ml),2,430,400,460,430,,,
,,,,,,,,,,
North,DIP100,Water temperature (°C),5,11.5,5,7,12,15,10.1,
North,DIP100,Turbidity (NTU),5,16,<7,15,25,25,18,
North,DIP100,Conductivity (uS/cm),5,200,65,190,203,210,174,
North,DIP100,pH,5,6,5.5,6,6.5,6.5,6.1,
North,DIP100,E. coli (counts/100 ml),6,520,160,280,800,1440,620,
,,,,,,,,,,
North,FOU100,Water temperature (°C),9,10,4.8,5.5,11.8,18.2,9.5,
North,FOU100,Turbidity (NTU),9,<7,<7,<7,<7,12,8,
North,FOU100,Conductivity (uS/cm),9,401,300,310,484,640,423,
North,FOU100,pH,9,6.5,6,6,7,7.1,6.5,
North,FOU100,E. coil (counts/100 ml),7,260,0,40,1000,2000,557,
North,FOU100,Ortho-phosphate (mg/L),3,0.015,0.015,0.015,0.015,,,
,,,,,,,,,,
North,FOU120,Water temperature (°C),10,10.5,4.5,5.8,11.8,13.9,9.3,
North,FOU120,Turbidity (NTU),10,<7,<7,<7,<7,13,8,
North,FOU120,Conductivity (uS/cm),10,362,230,338,658,1420,527,
North,FOU120,pH,10,7,6.5,6.5,7,7.5,6.9,
North,FOU120,E. coil (counts/100 ml),8,130,38,60,340,480,197,
North,FOU120,Ortho-phosphate (mg/L),5,0.015,0.015,0.015,0.015,0.03,0.018,
,,,,,,,,,,
North,FOU150,Water temperature (°C),10,10.5,5,6.3,11.5,12,9.1,
North,FOU150,Turbidity (NTU),10,<7,<7,<7,<7,<7,<7 ,
North,FOU150,Conductivity (uS/cm),10,529,390,454,1080,1294,694,
North,FOU150,pH,10,6,6,6,6.5,7,6.3,
North,FOU150,E. coli (counts/100 ml),8,109,20,50,340,580,200,
North,FOU150,Ortho-phosphate (mg/L),5,0.03,0.015,0.015,0.03,0.045,0.027,
,,,,,,,,,,
North,FOU200,Water temperature (°C),8,11,4.5,7,11.3,13.5,9.6,
North,FOU200,Turbidity (NTU),8,<7,<7,<7,<7,15,8,
North,FOU200,Conductivity (uS/cm),8,491,410,465,629,1020,575,
North,FOU200,pH,8,6.5,6,6,7,7.5,6.6,
North,FOU200,E. coli (counts/100 ml),6,80,1,20,160,700,174,
