Zone,Site,Parameter,No.samples,Median,Minimum,25%quartile,75%quartile,Maximum,Mean 
Upper,WAT050,Turbidity (NTU),8,11,<7,<7,34,63,22
Upper,WAT055,Turbidity (NTU),6,31,<7,<7,39,48,27
Upper,WAT200,Turbidity (NTU),26,10,<7,<7,15,175,20
West,CFB010,Turbidity (NTU),29,<7,<7,<7,<7,45,10
West,CFB020,Turbidity (NTU),30,<7,<7,<7,11,68,12
West,CFB030,Turbidity (NTU),25,<7,<7,<7,12,70,15
West,DOV070,Turbidity (NTU),4,13,<7,10,18,23,14
West,DOV090,Turbidity (NTU),2,10,<7,13,10,,
West,DOV110,Turbidity (NTU),2,10,<7,12,10,,
West,DOV120,Turbidity (NTU),2,10,<7,13,10,,
West,DOV130,Turbidity (NTU),2,<7,<7,<7,<7 ,,
West,PCK010,Turbidity (NTU),20,<7,<7,<7,13,95,15
West,PCK020,Turbidity (NTU),20,<7,<7,<7,14,43,13
West,PCK030,Turbidity (NTU),20,<7,<7,<7,11,30,10
